City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
225,tura,25.5198,90.2201,25.41,26,84,2.01,IN,1712770873
226,jacmel,18.2342,-72.5347,29.12,63,6,4.65,HT,1712771006
227,antonio enes,-16.2325,39.9086,28.11,80,100,4.89,MZ,1712771007
228,kristiansund,63.1115,7.732,5.36,87,75,11.32,NO,1712771007
229,bonthe,7.5264,-12.505,28.65,72,60,5.89,SL,1712771007
230,mabaruma,8.2,-59.7833,31.69,51,76,3.98,GY,1712771007
231,cape coast,5.1053,-1.2466,29.26,76,88,5.25,GH,1712771007
232,north platte,41.1239,-100.7654,17.94,35,0,6.17,US,1712770896
233,susuman,62.7833,148.1667,-21.68,100,71,0.45,RU,1712770846
234,straldzha,42.6,26.6833,17.02,71,0,1.97,BG,1712771008
235,umea,63.8284,20.2597,2.96,87,0,2.57,SE,1712771008
236,tucuma,-0.1833,-50.05,28.61,74,91,1.96,BR,1712771008
237,korla,41.7597,86.1469,15.51,23,7,2.46,CN,1712771008
238,tiksi,71.6872,128.8694,-14.53,98,100,4.46,RU,1712771008
239,general jose de san martin,-26.5374,-59.3416,24.14,96,93,2.84,AR,1712771008
240,carnarvon,-24.8667,113.6333,23.94,57,25,6.3,AU,1712770990
241,radashkovichy,54.1551,27.2424,16.52,78,78,5.06,BY,1712771009
242,carboneras,37.0015,-1.9213,16.29,48,29,4.41,ES,1712771009
243,palu,-0.8917,119.8707,24.12,98,100,0.84,ID,1712771009
244,kalininsk,51.5,44.4758,16.67,69,0,3.77,RU,1712771009
245,slave lake,55.2834,-114.769,3.99,60,0,2.57,CA,1712771009
246,karymskoye,51.6167,114.35,5.19,63,79,1.64,RU,1712771010
247,morondava,-20.2833,44.2833,27.56,76,82,3.59,MG,1712771010
248,saint croix,17.7397,-64.7388,28.31,73,59,2.24,VI,1712771010
249,barra de santo antonio,-9.4047,-35.5072,30.6,70,57,3.74,BR,1712771010
250,bontang,0.1333,117.5,27.33,81,100,5.83,ID,1712771010
251,taoudenni,22.6783,-3.9836,38.63,9,9,2.86,ML,1712771010
252,priob'ye,62.5206,65.5964,-12.77,96,67,3.87,RU,1712771010
253,portland,45.5234,-122.6762,13.33,72,64,1.79,US,1712770394
254,lethem,3.3803,-59.7968,38.87,25,49,5.65,GY,1712771011
255,sodra sandby,56.5667,16.6167,10.92,62,47,6.92,SE,1712771011
256,codrington,-38.2667,141.9667,14.59,72,100,4.87,AU,1712770974
257,san antonio de pale,-1.4014,5.6325,28.48,79,91,4.35,GQ,1712771011
258,birjand,32.8663,59.2211,21.26,21,0,7.2,IR,1712770713
259,lichtenburg,-26.152,26.1597,14.11,55,0,3.65,ZA,1712771011
260,wailua homesteads,22.0669,-159.378,22.44,83,0,4.12,US,1712771011
261,luanda,-8.8368,13.2343,29.0,81,20,5.66,AO,1712770967
262,chinsali,-10.5414,32.0816,19.77,91,77,1.41,ZM,1712771012
263,mahina,-17.5065,-149.489,28.87,74,0,0.0,PF,1712771012
264,notodden,59.5594,9.2585,10.92,37,40,3.09,NO,1712771012
265,punta arenas,-53.15,-70.9167,9.06,61,75,12.86,CL,1712770836
266,aykhal,66.0,111.5,-24.86,90,67,9.5,RU,1712770868
267,masterton,-40.9597,175.6575,16.6,81,100,3.3,NZ,1712771012
268,tolanaro,-25.0319,46.9987,25.04,88,0,2.06,MG,1712771013
269,la plata,-34.9215,-57.9545,20.58,39,48,5.13,AR,1712770544
270,al kharijah,25.4514,30.5464,23.06,27,81,4.24,EG,1712771013
271,awjilah,29.1081,21.2869,22.03,22,0,4.42,LY,1712771013
272,sinabang,2.4803,96.3801,26.45,86,100,0.45,ID,1712771013
273,mina clavero,-31.721,-65.0062,15.55,94,98,1.32,AR,1712770864
274,douentza,14.9951,-2.9517,40.06,11,40,3.42,ML,1712771014
275,poronaysk,49.2167,143.1167,2.35,68,49,4.15,RU,1712771014
276,kalabo,-14.97,22.6814,21.54,90,100,1.75,ZM,1712771014
277,awka,6.2101,7.0741,32.63,52,69,1.96,NG,1712771014
278,avarua,-21.2078,-159.775,27.03,89,75,7.2,CK,1712771014
279,isangel,-19.55,169.2667,25.77,90,67,1.62,VU,1712771014
280,hermanus,-34.4187,19.2345,15.45,74,55,8.13,ZA,1712771014
281,borovskoy,53.8,64.15,1.41,81,60,2.1,KZ,1712771015
282,tucurui,-3.7661,-49.6725,29.2,81,78,0.53,BR,1712771015
283,afaahiti,-17.75,-149.2833,27.93,83,40,6.72,PF,1712771015
284,ustka,54.5805,16.8619,7.57,77,100,6.93,PL,1712771015
285,south grafton,-29.7,152.95,11.37,75,10,1.9,AU,1712771016
286,manado,1.487,124.8455,24.43,94,20,0.51,ID,1712771016
287,puerto deseado,-47.7503,-65.8938,10.3,52,59,5.83,AR,1712771017
288,sao vicente,-23.9631,-46.3919,35.1,60,75,1.54,BR,1712770839
289,tulum,20.2167,-87.4667,31.03,60,79,5.33,MX,1712770829
290,coyhaique,-45.5752,-72.0662,12.34,61,0,3.6,CL,1712770875
291,jiangkou,25.4872,119.1986,17.05,86,53,2.61,CN,1712771017
292,whitecourt,54.1502,-115.6855,6.58,42,0,7.2,CA,1712771017
293,zuenoula,7.4292,-6.0431,33.29,44,89,1.35,CI,1712771018
294,itarantim,-15.6597,-40.0656,28.65,68,92,1.74,BR,1712771018
295,muynoq,43.7683,59.0214,16.6,38,20,3.09,UZ,1712771018
296,pula,44.8683,13.8481,18.31,55,0,8.23,HR,1712770793
297,crane,31.3974,-102.3501,17.93,30,7,9.3,US,1712771018
298,kirakira,-10.4544,161.9205,26.05,85,97,2.14,SB,1712771018
299,kourou,5.1552,-52.6478,29.03,81,97,4.48,GF,1712771018
300,aquin,18.2833,-73.4,27.4,71,23,3.31,HT,1712771019
301,wainwright,52.839,-110.8572,7.28,35,4,8.97,CA,1712771019
302,bilgoraj,50.5411,22.722,14.09,74,100,4.97,PL,1712771019
303,anadyr,64.75,177.4833,-10.72,92,75,6.0,RU,1712771019
304,mahibadhoo,3.7833,72.9667,29.68,72,48,4.63,MV,1712770854
305,richards bay,-28.783,32.0377,22.85,71,0,8.42,ZA,1712770761
306,santona,43.4439,-3.4576,16.17,66,54,1.54,ES,1712771019
307,cromer,52.9312,1.2989,13.0,93,100,8.94,GB,1712771020
308,kyren,51.6828,102.1408,7.75,82,86,1.34,RU,1712771020
309,carandai,-20.9536,-43.8064,28.02,73,28,2.04,BR,1712771020
310,nuku'alofa,-21.1333,-175.2,25.19,88,20,4.63,TO,1712771020
311,chinde,26.8418,88.0763,18.39,29,9,3.52,NP,1712771020
312,makueni boma,-1.8041,37.6203,19.84,90,47,1.27,KE,1712771021
313,guerrero negro,27.9769,-114.0611,22.99,37,0,2.98,MX,1712770919
314,kodiak,57.79,-152.4072,-2.27,80,75,6.17,US,1712771021
315,misratah,32.3754,15.0925,17.67,70,65,7.33,LY,1712771021
316,cimitarra,6.3142,-73.9497,35.15,49,5,1.53,CO,1712771021
317,la passe,45.5549,-0.8967,16.13,79,63,3.24,FR,1712770997
318,troitsko-pechorsk,62.7084,56.1964,-4.61,98,92,1.34,RU,1712771022
319,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,96,75,3.0,RU,1712770904
320,havre,49.5833,0.3333,13.22,76,100,4.63,FR,1712771022
